Xv5EbpcAAAAJ	Taber LA	[biomechanics, morphogenesis]
sMSUuY8AAAAJ	Elijah Thimsen	[Gas-phase synthesis, complex inorganic materials, nanoscience and nanotechnology, energy conversion and storage, emergent behavi]
rHHKG_AAAAAJ	Randall V Martin	[atmospheric chemistry, aerosols, satellite remote sensing, atmospheric modeling, environment]
c79hBb0AAAAJ	Rajan K. Chakrabarty	[N/A]
TOAnGa8AAAAJ	Quing Zhu	[cancer imaging, optical imaging, ultrasound]
ycVm-gkAAAAJ	Changhui Li	[Biomedical optics, Medical imaging, photoacoustic tomography, fluorescence molecular tomography]
p_QR9RUAAAAJ	Chao Zhou, PhD	[Biomedical Optics, Optical Coherence Tomography, Diffuse Optical Imaging]
tLrQhzIAAAAJ	Susan Margulies	[biomechanics, brain injury, lung injury]
6GB1kv8AAAAJ	Aneesh Alex	[Optical imaging, Optogenetics, Biophotonics, Pharmacology]
HGTDp1UAAAAJ	Daniel Licht	[Neurology, child neurology, brain injury, brain imaging]
MYFF5l4AAAAJ	Tejas Kirtane	[N/A]
2Qlrv_cAAAAJ	Rudolph E Tanzi	[Alzheimer's Genetics APP CD33]
q4FqPgYAAAAJ	Ulas Sunar	[imaging, biomedical optics, spectroscopy, fluorescence]
z17wdcsAAAAJ	osman oguz ahsen	[Biomedical Optics]
jR3NLMsAAAAJ	Yuankai Tao	[Biomedical Engineering]
10iNskYAAAAJ	Danny JJ Wang	[Neuroimaging methodology and applications, Functional MRI, Neuromodulation]
G8GezxgAAAAJ	Brian L. Edlow, M.D.	[Traumatic Brain Injury, Disorders of Consciousness, Neuroimaging]
y3_tUqsAAAAJ	Regine Choe	[Biomedical Optics]
XqI4gAYAAAAJ	Erin M. Buckley	[Diffuse Optical Spectroscopies]
HM7WbsgAAAAJ	Meeri N. Kim	[Biomedical Optics]
m4gr7P8AAAAJ	HSIANG-CHIEH LEE	[biomedical imaging, biomedical optics, optical coherence tomography, endoscopy, medical device]
M5_wxAkAAAAJ	Desmond Adler	[Optical Coherence Tomography, Biomedical Optics]
nfeNsaoAAAAJ	John Detre	[Neuroimaging and Brain Function]
rQ8F7rIAAAAJ	Tsung-Han Tsai	[optical coherence tomography, endoscopy, biomedical imaging]
4PzSxEMAAAAJ	Guoqiang Yu	[N/A]
c7reUlAAAAAJ	Turgut Durduran	[biomedical optics]
LWAFHkEAAAAJ	Arjun Yodh	[Condensed Matter Physics, Soft Matter, Optics, Biomedical Optics, Biophotonics]
thhRaQYAAAAJ	Michael D. Vahey	[N/A]
4hNJPNYAAAAJ	Kurt Thoroughman	[motor control, education, neuroscience]
wSPgTVwAAAAJ	Jonathan Silva	[Cardiac Electrophysiology, Ion Channels, Sodium Channels, Biophysics, Biomedical Engineering]
S_78QZwAAAAJ	Joshua Brettmann	[Biochemistr, Biophysics]
TL3wdfgAAAAJ	Colin H Peters	[N/A]
qYbgZYgAAAAJ	Geoffrey S. Pitt	[ion channelopathies, arrhythmia, molecular neuroscience]
d5A3WZ8AAAAJ	Arie Krumholz	[Biomedical Imaging, Contrast Agents, Photoacousitc Tomography, Optoacoustic]
tiHMmkcAAAAJ	Jeanne M. Nerbonne	[Membrane Excitability, Ion Channels, Electrical Remodeling, Electrophysiology]
OJ2WdXAAAAAJ	HAIXIA ZHANG	[electrophysiology]
iBbfPfUAAAAJ	rick schuessler	[cardiac electrophysiology]
pxp6lUEAAAAJ	David Sept	[biophysics, computational biology, cytoskeleton]
L9dwKyUAAAAJ	Nathan Baker	[Computational Biology, Applied Mathematics, Informatics]
s2o3_90AAAAJ	Jordi Heijman	[Cardiac electrophysiology, computational modeling, systems biology]
0YxIvbEAAAAJ	Thomas J. Hund	[Biomedical Engineering, Ion Channel Regulation, Cardiac Arrhythmia Mechanisms, Mathematical Modeling]
G5Zm8aAAAAAJ	Jonathan D. Moreno	[My research focuses on utilizing computational approaches to understand and design better treatment strategies for the pharmacol]
aTpJ0fcAAAAJ	Ali Nekouzadeh	[Biomedical Engineering]
YJVAXCwAAAAJ	Colin G Nichols	[Biology, Medicine]
5K8RGu8AAAAJ	Varga Zoltan	[Biophysics electrophysiology]
Nq_T4UwAAAAJ	Jennifer Silva	[Pediatric Cardiac Electrophysiology]
cuEHP_IAAAAJ	Keith F Decker	[Bioinformatics, RNA-seq, Transcriptome Assembly, ChIP-seq, Computational Biology]
yexUDMQAAAAJ	Mark Zaydman	[Ion Channel Biophysics]
yOJ8F4gAAAAJ	Wandi Zhu	[Electrophysiology, Ion channels, Cardiovascular system]
-DtKfGcAAAAJ	Jai S Rudra	[Vaccine, Nanotechnology, Self-assembly, Peptides, Biomaterials]
l0RoHAQAAAAJ	Miroslav Nenov	[neurophysiology, cardiac physiology, cell signaling, voltage-gated ion channels, synaptic transmission]
sIyhllYAAAAJ	Rajagopal Appavu	[Nano Vaccine Development, Cocaine Vaccine Development, Pharmaceutical Nanotechnology, Drug Delivery, Peptide/protein chemistry]
g_c8sA0AAAAJ	Tao Sun	[Immunology, Peptide Vaccine, Tumor Immunology, Immunogenomics]
ZYbgXoEAAAAJ	Ye Field Tian	[Cancer Immunology]
qVKYugIAAAAJ	Anita Chong	[Transplantation Immunology, Immunology of self-assembling peptide systems as vaccines]
fcTg4fcAAAAJ	Andrew Zloza, MD, PhD	[Cancer, Viral Infection, Immunology, Autoimmunity]
_HDO25IAAAAJ	Jangwook P. Jung	[stem cell, extracellular matrix, composite biomaterials]
YCZYhF8AAAAJ	Joel Collier	[Biomaterials, immunology, extracellular matrix, bioengineering]
VdzVqCwAAAAJ	Rohit V. Pappu	[Biophysics, Statistical Physics, Computational Biology]
CortFagAAAAJ	Rahul K Das, PhD	[Computational Biology, Biophysics, Bioinformatics, Machine Learning, Data Analysis]
-deXrt8AAAAJ	Rajgopal Srinivasan	[Bioinformatics, Computational Biology]
mvdw03oAAAAJ	George Rose	[Biophysical Chemistry]
62soGRgAAAAJ	Michael Rosen	[Biophysics, Cell Biology, Signal Transduction]
uASl5F0AAAAJ	Reece Hart	[Genome interpretation, protein structure prediction, protein sequence analysis, data integration]
HlxqS1MAAAAJ	carl frieden	[biophysics]
N1vnxn4AAAAJ	Alan A Chen	[Computational biophysics of RNA]
4agt6FcAAAAJ	A. Keith Dunker	[Intrinsically disordered proteins, Biochemistry, Biophysics, Bioinformatics]
ctlAGI0AAAAJ	Jay Ponder	[Molecular Mechanics, MD Simulation, Biomolecular Modeling]
wAoRV_AAAAAJ	Cliff Brangwynne	[Biophysics, Bioengineering, Developmental Biology, RNA Biology, Soft Matter]
3kp_a7EAAAAJ	Richard Kriwacki	[Disordered Proteins]
MeSHpCsAAAAJ	Anuradha Mittal	[Computational biology]
P3wKAyIAAAAJ	Scott L. Crick	[Biodetection, Fluorescence, Nanotechnology]
FVsf9rkAAAAJ	Nicholas Lyle	[intrinsically disordered proteins, protein folding, protein aggregation]
x7huTU0AAAAJ	Kiersten M Ruff	[Computational Biology, Molecular Biophysics]
GHsoyKIAAAAJ	Andreas Vitalis	[Computational Biophysics, Neurodegenerative Disease, Algorithms and Methods Development]
oe-jFWAAAAAJ	Alex S. Holehouse	[Computational Biophysics]
2Zeqd3QAAAAJ	Daniel W. Moran	[Neuroengineering, Systems Neurophysiology]
_QU1opsAAAAJ	Princess Imoukhuede	[N/A]
5HX--AYAAAAJ	Robert Langer	[drug delivery, tissue engineering, biomaterials, nanotechnology, chemistry]
G7pJdK4AAAAJ	Lawrence Wawrzyniec Dobrucki	[molecular imaging, PET, SPECT, X-ray CT, angiogenesis]
K0Sn-VcAAAAJ	Brian J. Roxworthy	[Nanophotonics, Plasmonics, MEMS/NEMS, Metasurfaces]
8wVcLRsAAAAJ	Randy H. Ewoldt	[Fluid mechanics, rheology, complex fluids, soft matter, biomaterial mechanics]
mxj0Z5gAAAAJ	JaeHyuk Kwack	[High Performance Computing, Computational Mechanics, Fluid-Solid Interactions]
OqeXIEMAAAAJ	Arif Masud	[Computational Fluid and Solid Mechanics, Computational Sciences, Turbulence, Non-Newtonian Fluids, Biomechanics]
bsotxTgAAAAJ	Brian Annex	[Peripheral artery disease, angiogenesis]
FBR3XoEAAAAJ	Stacey D. Finley	[Systems biology, Mathematical modeling, Angiogenesis, Metabolism]
TZRFXM8AAAAJ	Robert H. Chow	[exocytosis, neuroscience, amperometry, channel, calcium]
8ZtyZjAAAAAJ	Raad Nashmi	[nicotinic receptors, synaptic transmission, neuroscience]
6qEdmcUAAAAJ	Ali Ansari	[Cancer, Surface Functionalization, Cell Isolation, Cell Sorting, Bioengineering]
E97MRUYAAAAJ	Felipe T Lee-Montiel	[Bioengineering (Organs-on-a-chip, Tissue Engineering, Biomaterials)]
xxIrRjcAAAAJ	Fraser J. Moss	[acid-base physiology, Förster resonance energy transfer, GABA transporter, receptor protein tyrosine phosphatase γ, SLC4]
UFHVXkUAAAAJ	Si (Stacie) Chen	[Glioblastoma, tumor microenvironment, systems biology, cell heterogeneity]
owqUYWMAAAAJ	Aleksander S. Popel	[Quantitative Systems Pharmacology, Computational Systems Biology, Angiogenesis, Microcirculation, Cancer Immunotherapy]
8KbzXvoAAAAJ	Henry A. Lester	[N/A]
DLVFrFAAAAAJ	Nathaniel Huebsch	[Tissue Engineering, Stem Cells, Hydrogels, Mechanotransduction, Regenerative Medicine]
9TpPcjoAAAAJ	Nick Willett	[Orthopaedics, Regenerative Medicine, Vascular Biology, Biomedical Engineering]
0nOfuMgAAAAJ	Christopher M. Madl	[Biomaterials, Tissue Engineering, Regenerative Medicine, Stem Cell Biology]
GlBl-VUAAAAJ	Zhigang Suo (锁志刚）	[solid mechanics, fracture, adhesion, fatigue, hydrogels]
EEGf5OAAAAAJ	Evi Lippens	[Tissue engineering, developmental engineering, cell-matrix interactions]
E1knViwAAAAJ	Jaeyun Kim	[Nanobiotechnology, Biomaterials, Hydrogels, Immunotherapy]
Icl5BnYAAAAJ	Anurag Mathur	[Bioengineering, Stem Cells, Tissue Engineering, Nanofabrication, Microfluidics]
N_Z79YgAAAAJ	Praveen Arany	[Laser biology, TGF-beta, Tissue Engineering, Dentistry, Pathology]
_D5W9yUAAAAJ	Kangwon Lee, Ph. D	[Biomaterials, tissue engineering, Functional Polymers, biosensors]
1guy5W4AAAAJ	Ovijit Chaudhuri	[biomechanics, mechanobiology, AFM]
H5hyYbUAAAAJ	Zhen Ma	[Tissue Engineering, Biophotonics, Single-cell Biochip, Mechanobiology, induced pluripotent stem cells]
tcg-f_sAAAAJ	Mohammad A. Mandegar	[Stem Cell Biology, Genetics, Genome Engineering]
z3oG700AAAAJ	Max Darnell	[Bioengineering, Mechanobiology, Single-cell Analysis]
o_a5zckAAAAJ	Joel D Boerckel	[Developmental mechanobiology, development-inspired tissue engineering]
8_Yj_RwAAAAJ	Robert E. Guldberg	[Musculoskeletal regenerative medicine, tissue engineering, and biomechanics]
4bHLr_IAAAAJ	Xuanhe Zhao (赵选贺)	[Solid Mechanics, Soft Materials, Active Materials, Hydrogels, Bioadhesives]
4tcxRqMAAAAJ	Peter Loskill	[Organ-on-a-Chip, Microfluidics, Tissue Engineering, Biomechanics, Surface science]
ghPIMpgAAAAJ	Sidi A. Bencherif, Ph.D.	[Polymeric Biomaterials, Tissue Engineering, Drug Delivery, Immunoengineering, Cancer Immunotherapy]
nngRAEYAAAAJ	Bruce Conklin	[human genetics, genome engineering, stem cells]
vm1u2DEAAAAJ	Kevin E. Healy	[Biomaterials, Tissue Engineering, Stem Cells]
ZflJqeUAAAAJ	David Mooney	[Biomaterials, Tissue Engineering, Drug Delivery, Immunoengineering, Mechanotransduction]
tfQuPyEAAAAJ	Song Hu	[Biomedical Engineering, photoacoustic imaging, vascular biology, neurovascular coupling, tumor biology]
DrUwvK0AAAAJ	Hong Chen	[Medical Ultrasound]
bHm5I5sAAAAJ	Vera Khokhlova	[N/A]
aYbvlrYAAAAJ	Nazanin Hosseinkhah	[Ultrasound Contrast Agent Modelling, CFD, Therapeutic Ultrasound]
_U9bzEAAAAAJ	Kullervo Hynynen	[Biomedical Ultrasound, Ultrasound, HIFU, MRI. Imaging]
Gk5QsRoAAAAJ	Cherry Chen Chen	[Microbubbles, Ultrasound, Contrast-Enhanced Diagnostic Molecular Imaging, Drug Delivery, Blood-Brain Barrier]
XfYRqF4AAAAJ	Dennis Barbour	[Sensory Neuroscience, Neuroengineering, Perceptual and Cognitive Testing]
HUxQ1TAAAAAJ	Lori A. Setton	[Biomedical engineering, orthopaedic science]
vHsgntwAAAAJ	Thomas V Stabler	[osteoarthritis, nitric oxide metabolism]
P6qnxgcAAAAJ	Timothy M Griffin	[osteoarthritis, obesity, aging, biomechanics, metabolism]
_HYCqwkAAAAJ	Koichi Masuda	[N/A]
x0ViSaoAAAAJ	Mark W. Grinstaff	[polymers, biomaterials, hydrogels, drug delivery, cartilage imaging]
K6FhoZYAAAAJ	Aubrey Francisco	[early literacy, ed tech]
l9UHHYgAAAAJ	Steven A. Olson	[arthritis, hip, dysplasia, fracture, pelvis]
yiiVQ1MAAAAJ	Mansoor Haider	[applied mathematics, math biology, computational mathematics]
8a2Z1loAAAAJ	Tod Laursen	[Computational mechanics]
SXutMMAAAAAJ	Dong Woo Lim	[Biomaterials]
BLDtWVEAAAAJ	Leonidas Alexopoulos	[Systems Biology, Medical devices, Proteomics, Biomechanics]
BDZ2z6YAAAAJ	Robby Bowles	[Tissue Engineering, Regenerative Medicine, CRISPR, Orthopeadics, Spine]
oz_MXbIAAAAJ	Janet L. Huebner	[osteoarthritis, biomarkers]
YnYx_TgAAAAJ	James C Iatridis	[spine, intervertebral disc, back pain, disc degeneration]
VP-d_2gAAAAJ	Mohammed F. Shamji	[biomaterials, neuropathic pain, spine surgery, neurosurgery]
0-tewh8AAAAJ	Virginia Byers Kraus	[osteoarthritis, biomarkers, joint regeneration, disease pathogenesis, aging]
h9Tji70AAAAJ	Ashutosh Chilkoti	[Genetically engineered materials, Drug delivery, Nanotechnology, Biointerface science, Clinical diagnostics]
rLSUeLsAAAAJ	Van C. Mow	[bioengineering]
CWj6pVcAAAAJ	Farshid Guilak	[biomechanics, mechanobiology, regenerative medicine, osteoarthritis, cartilage]
WwadVmIAAAAJ	Lan Yang	[resonator, laser, nonlinear optics, sensing, non-Hermitian physics]
klpr-t0AAAAJ	Jan Wiersig	[N/A]
Q6WtK04AAAAJ	Fang Bo	[Optics, Photonics]
BECu7wYAAAAJ	Shanhui Fan	[Nanophotonics, Photonic Crystals, Metamaterials, Plasmonics, Solar Cells]
BzzEEc0AAAAJ	Venkat Gaddam	[Transcutaneous inductive energy transfer, Neuromodulation, micro/nano photonics]
qvKcICQAAAAJ	Stefan Rotter	[N/A]
GbLB9aAAAAAJ	Mariagiovanna Gianfreda	[Physics]
sr1HGtUAAAAJ	Hui Jing	[quantum physics]
eYVXgAoAAAAJ	Carl M Bender	[N/A]
WxJIpkcAAAAJ	Chun-Hua Dong	[Microcavity, Optomechanics, Whispering gallery mode]
PRCbG2kAAAAJ	Tobias J Kippenberg	[Cavity quantum optomechanics, nano-mechanical systems, microresonator Kerr combs, optical frequency combs, high Q microresonator]
tiFit0cAAAAJ	Tal Carmon	[Cavity optomechanics, nonlinear optics, cavity optocapillaries, liquid-walled microfluidics]
L-pC28sAAAAJ	Woosung Kim	[Silicon photonics]
-goooIUAAAAJ	Gui Lu Long	[quantum communication, quantum computation, quantum information, quantum secure direct communication, quantum algorithm]
8VfMkGsAAAAJ	Yun-Feng Xiao	[Microcavity photonics and quantum optics]
SRUYLREAAAAJ	Franco Nori	[condensed matter physics, quantum optics, quantum information, superconductivity, circuit QED]
F2jhvIoAAAAJ	Lina He	[Optical microresonators, microlasers, optical sensors]
1o_wrqsAAAAJ	Faraz Monifi	[Photonics, Optics, Resonators, Silicon photonics, Sensing]
No-GJRQAAAAJ	Bo Peng	[Silicon photonics, Photonic Sensors, Optical Microcavities, Raman Microscopy, Microcavity Laser]
Ay_j7dUAAAAJ	Jiangang Zhu	[Photonics, Resonator, Sensing, Laser]
OQ4t3U4AAAAJ	Kerry Vahala	[Microcavities, Microresonators, Nonlinear Optics, Optical Physics, Photonics]
QLFhXgMAAAAJ	Chuan Wang	[Carbon Nanotubes, 2D Materials, Flexible Electronics, Stretchable Electronics, Printed Electronics]
lELCubQAAAAJ	Umberto Villa	[Uncertainty Quantification, Inverse Problems, Imaging, Finite Element Methods, Preconditioning]
mFPXD90AAAAJ	Tan Bui-Thanh	[uncertainty quantification, inverse problem, model reduction, scientific computing, high-order finite element methods]
tqH-TyIAAAAJ	Delyan Z Kalchev	[N/A]
tdfS7TwAAAAJ	yalchin efendiev	[Computational Mathematics, Multiscale Methods, Multiscale Mathematics, Numerical Upscaling, Multiscale Simulations]
UbWFbIkAAAAJ	M.Sc., Ph.D. Allan Peter Engsig-Karup	[Scientific Computing, Numerical Methods/Analysis for Differential Equations, High-Performance Computing, Computational Mathemati]
AaVPa5kAAAAJ	Peng Chen	[uncertainty quantification, stochastic optimization, inverse problems, model reduction]
_VsL6mAAAAAJ	Annalisa Quaini	[Applied Mathematics, Numerical Methods, Computational Fluid Dynamics, Fluid-Structure Interaction, Blood Flow]
PMjIXFIAAAAJ	Jaroslaw Slawinski	[Computer Science, HPC, Clouds, Utility Computing]
6k7bp8IAAAAJ	V. S. Sunderam	[Distributed Systems, Parallel Processing, High Performance Computing]
A5vhsIYAAAAJ	Omar Ghattas	[inverse problems, uncertainty quantification, PDE-constrained optimization, supercomputing, computational geophysics]
GhpkHDAAAAAJ	Panayot S. Vassilevski	[Computational Mathematics, Scalable Algorithms for PDEs and Discrete Mathematics, Upscaling, Dimension Reduction]
pT7rjkQAAAAJ	Tiziano Passerini	[Scientific computing, Biomechanics]
xjvr4yEAAAAJ	Alessandro Veneziani	[Numerical Partial Differential Equations, Cardiovascular Mathematics, Applied Mathematics]
iBgmo3sAAAAJ	Heinz Schaettler	[Optimal Control, Mathematical Models for Biomedical Systems]
mioppqwAAAAJ	Maria do Rosário de Pinho	[Optimal Control]
GRoULwcAAAAJ	Mostafa Reisi-Gahrooei	[Systems engineering and informatics, applied mathematics, transportation engineering]
0WVyaVMAAAAJ	Jr-Shin Li	[systems and control, computational mathematics, computational neuroscience, quantum control]
cb5JccEAAAAJ	Dionisis Stefanatos	[Quantum Control, Shortcuts to Adiabaticity, Quantum Technologies]
ZhcSLWsAAAAJ	Babu Joseph	[Biomass Conversion, Renewable energy, catalysis, process control, computational catalysis]
_wGOGjsAAAAJ	Eugene Kashdan	[Mathematical Medicine, Computational Physics, Statistical Machine Learning, Real-Time Risk Management]
cWPJoXkAAAAJ	Alberto d'Onofrio	[Mathematical Epidemiology, Theoretical Biophysics, Mathematical Biology, Theoretical Systems Biology, Mathematical Oncology]
t-5QQSsAAAAJ	Vaithianathan Venkatasubramanian	[Power system stability and control, Nonlinear system theory]
g9yhtN8AAAAJ	Neal Patwari	[Signal Processing, Wireless, Sensor Networks, Localization, RF Sensing]
53HX4X8AAAAJ	Huseyin Yigitler	[Wireless communication, wireless sensor networks, distributed systems]
aLOSzWwAAAAJ	Theodore (Ted) S. Rappaport	[wireless, communications, antennas, propagation, 5G]
ll3_x18AAAAJ	Michael R. Clark	[Cryptography, Security, Multiparty Computation, Homomorphic Encryption]
x8UnxSoAAAAJ	Srikanth Krishnamurthy	[Networks, Security, Wireless]
wPA25DQAAAAJ	Philip Lundrigan	[Wireless Networking]
FpCKREcAAAAJ	Dustin Maas	[Wireless Communications, Signal Processing, Software Defined Radio]
d-Zq1l0AAAAJ	Riku Jantti	[wireless communications]
EYsanUcAAAAJ	Gregory D. Durgin	[Applied Electromagnetics]
bRiKI7MAAAAJ	Anh Luong	[Wireless, Embedded Systems, Sensor Networks, Localization, RF Sensing]
QJ4foJ4AAAAJ	Peter Hillyard	[Signal Processing, Wireless Sensor Networks]
Z03FLwkAAAAJ	Suresh Venkatasubramanian	[Algorithmic Fairness, Computational Geometry, Data Mining, Clustering]
mtB5szIAAAAJ	Randolph Moses	[signal processing, radar processing, sensor networks]
fkftQJAAAAAJ	Yang Zhao	[Localization, Signal Processing, Sensor Networks]
qrVndScAAAAJ	Joshua Ash	[Signal Processing, Machine Learning, Radar, Hyperspectral Imaging]
SDY9FwUAAAAJ	Suman Jana	[Computer Security, Privacy, Software engineering, Security of Machine Learning]
gIqECGgAAAAJ	Sriram Nandha Premnath	[N/A]
lnC1vbAAAAAJ	Ossi Kaltiokallio	[localization and tracking, indoor radio propagation channel, signal processing, Bayesian filtering]
c8LH7zUAAAAJ	Maurizio Bocca	[networked embedded systems, wireless sensor networks, indoor localization]
DSiNzkIAAAAJ	Alfred Hero	[High dimensional statistical inference, information theoretic image and signal processing, information fusion, sensor networks]
XeYCNAwAAAAJ	Sneha Kasera	[N/A]
toODfV4AAAAJ	Joseph A. O'Sullivan	[imaging science, recognition theory, information theory, information hiding]
jFK9W3UAAAAJ	Aaron Lanterman	[N/A]
7dx5lXIAAAAJ	Soysal Degirmenci	[Convex Optimization, Optimization, Image Reconstruction, Machine Learning, X-Ray Imaging]
mEvDByAAAAAJ	Dong Han, Ph.D.	[Radiation Oncology]
ujIV4gUAAAAJ	Parinaz Massoumzadeh, PhD	[Brain Tumor, CT dose reduction, X-ray filter matrial, MR oxygen sensitive techniques, OEF PET]
l8wiON4AAAAJ	Yan Kaganovsky	[Machine Learning, Computational Imaging, Image Processing]
2nmHOtoAAAAJ	Lawrence Carin	[Statistics, machine learning, Bayesian analysis]
YAgmYI8AAAAJ	Michael Vannier	[medical imaging, visualization, computed tomography]
x-cAH-AAAAAJ	Chrysanthe Preza, DSc	[Computational Imaging, Inverse Problems, Optical System Characterization, Model-based image reconstruction]
pjK2mQwAAAAJ	Ge Wang	[X-ray computed tomography, optical molecular tomography, interior tomography, multimodality fusion, deep learning]
Jg8jitoAAAAJ	Ke Li 李轲	[GPU computation, Self-driving Vehicle]
CcSZwTsAAAAJ	David J Brady	[Computational imaging, compressive measurement, gigapixel imaging, tomography, x-ray scatter imaging]
DPZuUtIAAAAJ	Aswin John Mathews	[Positron Emission Tomography, X-ray Computed Tomography, Image reconstruction algorithms]
ZwBxbEUAAAAJ	Alan Kaplan	[Machine Learning, Statistical Modeling, Graphical Models, Signal Processing]
LwbkuAQAAAAJ	Ikenna Odinaka	[Computational Imaging, Biometrics, Machine Learning]
q7HqHocAAAAJ	Sergey Komarov	[N/A]
JJ31S6UAAAAJ	Po-Hsiang Lai	[information theory, machine Learning, biometrics, imaging science, natural language processing]
Ui8pnoIAAAAJ	Michael I. Miller	[Biomedical Data Science, Computational Anatomy, Brain Mapping, Neuroscience, Medical Imaging]
bNkvbPMAAAAJ	David Politte	[Medical Imaging, Radiation Oncology, Scatter Imaging, Signal Processing, Genetics]
0pp-L_IAAAAJ	Arye Nehorai	[Statistical Signal Processing, Machine Learning, Sensing, Imaging, Biomedicine]
8Kk2MugAAAAJ	Matthew D. Lew	[super-resolution microscopy, single-molecule fluorescence, computational imaging]
P5eWdgsAAAAJ	Lucy Shapiro	[bacterial genetics, cell regulation, molecular biology, cell biology]
lgkJg6EAAAAJ	Darius M. Moshfeghi, MD	[Vitreoretinal Diseases & Surgery]
b9Bod2MAAAAJ	Steven Chu	[N/A]
h8NURnIAAAAJ	Debasish Sen	[Immuno-oncology, Biologics, Medicine]
fv1RjgEAAAAJ	Adam de la Zerda	[Molecular Imaging]
wvVg44gAAAAJ	Orly Liba (Levy)	[Computational Photography, Computer Vision, Computational Imaging and Displays, Medical Imaging]
ImcSjGsAAAAJ	Jin Lu	[Electrochemical imaging, Single-molecule fluorescence, Super-resolution fluorescence microscopy, Surface plasmon resonance micro]
kDiyDt4AAAAJ	Anurag Agrawal	[Computational Optical Imaging, Single molecule microscopy, PSF engineering]
TjMoTKsAAAAJ	Oumeng Zhang	[image processing, super-resolution microscopy]
ObVTKmUAAAAJ	Tianben Ding	[3D super-resolution microscopy, image processing, complex-valued neural networks]
OcAOpSUAAAAJ	Xiquan Cui	[imaging, optics, micro technology, nano technology, biomedical]
MC6suuAAAAAJ	Ginni Grover	[Application of joint optical and computational methods to imaging and sensing, Three-dimensional imaging]
7QbSKnMAAAAJ	Steven F. Lee	[3D Super-resolution Imaging, Biophysical chemistry, Single-molecule microscopy, Fluorescence, biophotonics]
3oPjTK4AAAAJ	Steffen J. Sahl	[Optical Nanoscopy, Super-Resolution Imaging, Protein Misfolding and Aggregation, Single-Molecule Biophysics]
n7HDm44AAAAJ	Adam S. Backer	[Single Molecule Microscopy, Fourier Optics, Fluorescence Polarization Microscopy]
VspDmN8AAAAJ	Majid Badieirostami	[Biomedical optics, optical sensors]
rRBwhFwAAAAJ	Michael Thompson	[N/A]
kSuuj6UAAAAJ	Mikael P Backlund	[novel methods in microscopy]
upREfesAAAAJ	W.E. Moerner OR William E. Moerner	[Physical Chemistry, Single-Molecule Spectroscopy and Imaging, Biophysics]
z_vUo8EAAAAJ	ShiNung Ching	[Control Theory, Computational Neuroscience]
zZO9qG4AAAAJ	Bruno Sinopoli	[System Theory, Control, Cyber-Physical Systems]
WiUaLy4AAAAJ	Niranjini Rajagopal	[sensing systems, signal and information processing, cyber-physical systems, indoor localization]
cPmMoXoAAAAJ	Andrea Goldsmith	[information theory, communications, wireless, networks, signal processing]
ahnEk8cAAAAJ	Rohan Chabukswar	[Diagnostics, Aerospace, Cyber Physical Systems, Secure Control]
n-Oret4AAAAJ	Adrian Perrig	[Security, Networking, Internet Security, IoT, Computer Security]
yxUduqMAAAAJ	Michael I. Jordan	[machine learning, statistics, computational biology, artificial intelligence, optimization]
ss_BgAYAAAAJ	Luca Parolini	[N/A]
5V852JcAAAAJ	Vyas Sekar	[Networking, Security, Systems]
db9WLdcAAAAJ	Ling Shi	[Cyber-Physical Systems Security, Networked Control, State Estimation, Sensor Scheduling, Event-based Estimation and Control]
UwV9710AAAAJ	Dragana Bajovic	[distributed inference, statistical signal processing, large deviations, sensor networks]
qoFYHTMAAAAJ	Jose M. F. Moura	[Data Science, Signal Processing, Signal and Image Processing, Information Theory, Computer Vision]
2eADYP8AAAAJ	Xiaoqi Yin	[Adaptive Video Streaming]
04aoCmQAAAAJ	Joao Xavier	[N/A]
4K7L-eAAAAAJ	Alessandro Casavola	[Control Engineering and Automation]
s4yZTp4AAAAJ	Bruce H. Krogh	[control, verification, embedded systems, power systems]
2A6PMfEAAAAJ	Emanuele Garone	[Automatic Control, System theory]
2E448xEAAAAJ	Massimo Franceschetti	[Information Theory, Control Theory, Wave Propagation, Network Science, Random Graphs]
O-QzGusAAAAJ	Sean Weerakkody	[Control Theory, Security]
LTL9MjwAAAAJ	luca schenato	[control theory]
KgZxzjsAAAAJ	Shankar Sastry	[robotics, control, hybrid systems, cyber security, embedded systems]
UcpEexUAAAAJ	Yilin Mo	[Control Theory, Signal Processing, Optimization]
3-nQ3eoAAAAJ	Jerome R Cox, Jr.	[computers]
gwB_pJcAAAAJ	Ning Zhang	[Computer Security]
U5nGHIIAAAAJ	Xuxian Jiang	[Blockchain Security, Android Security, Virtualization, Malware Defense]
gz-6ugcAAAAJ	Le Guan	[cybersecurity]
G-CrIW8AAAAJ	Yaxing Chen	[access control, trusted computing]
Zy2cIskAAAAJ	Chen Hajaj	[Game Theory, Machine Learning, Crowdsourcing, Artificial Intelligence, Electronic Commerce]
Juoqtj8AAAAJ	Chaowei Xiao	[Adversarial Machine Learning, Cyber Security]
K8vJkTcAAAAJ	Bo Li	[Adversarial machine learning, security, privacy, big data, social network]
w362AJMAAAAJ	Liang Tong	[adversarial machine learning, artificial intelligence, security, mobile cloud computing]
JydvPF8AAAAJ	Yuichi Kawamoto	[Information and Communication Technology]
ptI-HHkAAAAJ	Yevgeniy Vorobeychik	[Artificial intelligence, adversarial machine learning, computational game theory, security and privacy]
